"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","sig"
-2.63293000344865,7.0583861491948,-24.3781494719537,1.77070188950711e-74,3.58637960700769e-70,158.810459035496,"SERPINA3","down"
1.0550582453776,5.61126799085981,23.1482489561406,6.29829042036297e-70,6.37827870870158e-66,148.449605417159,"FREM1","up"
-0.656160003819002,8.55491184437878,-22.9609510672076,3.1484760259294e-69,2.1256411143058e-65,146.857967797438,"HMOX2","down"
-0.98415336664149,7.32765522616418,-22.5350816942921,1.23756270191183e-67,6.26639874113054e-64,143.22614494998,"TUBA3D","down"
-1.7817181767138,8.00814486352087,-21.0025502900115,7.71115113836748e-62,3.1236331031299e-58,130.021557718587,"FCN3","down"
1.0555626672559,4.7475835963311,20.6170446054282,2.2755106008812e-60,7.68136528504129e-57,126.670486285167,"MNS1","up"
1.19124103673087,7.05662186209219,20.5974488003463,2.70343125650114e-60,7.82218523845345e-57,126.49986825038,"SMOC2","up"
0.737444299592619,6.75523101747548,19.6486240583235,1.16795238751956e-56,2.95696345710265e-53,118.209935400461,"ZMAT1","up"
1.00537567836238,6.19853118178285,19.25845411547,3.70036096630051e-55,8.32745677905006e-52,114.786929535844,"ECM2","up"
-0.596057164740095,6.85051974451415,-19.2295063230687,4.78306427405338e-55,9.68761838066773e-52,114.532695800097,"FURIN","down"
1.02714557812925,6.46612259009698,18.7993764003051,2.17504660733211e-53,4.00485399862769e-50,110.751273488766,"PDE5A","up"
-0.920442963356166,5.63117254869892,-18.6940573306998,5.54338031417433e-53,9.35630207360724e-50,109.824409109179,"LCN6","down"
-0.671903563743193,5.53404098203524,-18.6177960599583,1.09159899535385e-52,1.70071123476129e-49,109.153064336914,"LAD1","down"
-0.821715985516895,6.91415431481893,-18.5062621143293,2.94159207407092e-52,4.25564327630231e-49,108.170921606338,"GGT5","down"
-0.622111724462644,6.34116347390808,-18.4481285666279,4.93204638830526e-52,6.65957783658232e-49,107.658886498524,"S1PR3","down"
1.2470992128645,9.67127413539155,18.3069978491923,1.72996997090515e-51,2.18992573691955e-48,106.41550186351,"LUM","up"
-1.35119438627607,6.51297081157594,-18.2088604401815,4.14108709286905e-51,4.93373988111586e-48,105.550659434313,"SLCO4A1","down"
1.83455760487803,7.56852395333657,18.0377147604946,1.89822952831452e-50,2.13593004813791e-47,104.042045538665,"ASPN","up"
0.818327838725887,6.9612808010278,17.6863871592247,4.32620524281354e-49,4.61173478883923e-46,100.944155120159,"ITIH5","up"
0.825862598494118,6.25422297886481,17.5004699319917,2.26296717995228e-48,2.29170686313767e-45,99.3045758808925,"ISLR","up"
1.36145505800176,5.99809521790423,17.453463155363,3.4383805571715e-48,3.31623618118817e-45,98.8900354840264,"FRZB","up"
0.506364312725426,6.76651260591406,17.3906984814542,6.01068777633133e-48,5.53365773735521e-45,98.3365441578326,"AP3M2","up"
0.885038875414548,5.90369695222341,17.3635557550002,7.65280621148377e-48,6.73912769597358e-45,98.097192125735,"MATN2","up"
-1.76164523609351,5.83183831656603,-17.2108514468618,2.9779157873718e-47,2.51311276489286e-44,96.7507107711032,"IL1RL1","down"
0.400881438647283,7.75372989492006,17.1966827633688,3.37799117026837e-47,2.73671332650462e-44,96.6257889376679,"TTC3","up"
0.993245618081295,5.2917170507593,17.1629408701275,4.56066949052435e-47,3.55276153311847e-44,96.328304448702,"NRK","up"
-0.861659826512712,4.57982284261288,-17.1200530158742,6.67923080631384e-47,5.01041262041039e-44,95.950205843701,"TUBA3E","down"
-0.360777856942125,8.49933112322666,-17.0239305589379,1.57054923731603e-46,1.13606800902139e-43,95.1028893084828,"MTCH1","ns"
0.881715233517133,6.07129019424585,17.0167026316375,1.6748293413968e-46,1.16972391312589e-43,95.0391813706402,"SCN2B","up"
1.0225511838585,5.45531418076696,17.0019413143177,1.90979684417573e-46,1.28936750939784e-43,94.9090759242242,"FNDC1","up"
-0.718801448326895,5.98431777091647,-16.9446374385387,3.179143477676e-46,2.07710877409193e-43,94.4040403008326,"GPR4","down"
0.69451145005316,6.03278590364682,16.9318337527561,3.56252140038192e-46,2.25485338885423e-43,94.2912063003008,"KCNN3","up"
0.720137810400409,6.46670259517172,16.8863001701647,5.34065057310598e-46,3.27786474871784e-43,93.889963252901,"SDSL","up"
-0.439890053709354,7.7720622350145,-16.8758365923517,5.86136105538814e-46,3.49164725928916e-43,93.7977641337289,"ZDHHC16","down"
-0.816656463194763,8.65076663385098,-16.8560090931599,6.99129895315478e-46,4.04576482849134e-43,93.6230620320388,"CSDC2","down"
0.997121177039312,5.75713005123917,16.7689545938991,1.51582954632344e-45,8.52822545312082e-43,92.8561240424964,"PTN","up"
-0.401753051315572,7.4705951561454,-16.7613911138741,1.62123831168826e-45,8.65365350822925e-43,92.7894995960227,"ITPK1","down"
0.672536856668523,6.3851280946896,16.7612290903102,1.62357476702237e-45,8.65365350822925e-43,92.7880723945981,"BTN3A1","up"
-0.855277195088876,5.62755440342374,-16.7113603345512,2.52905606296211e-45,1.31342311536499e-42,92.3488309001403,"NPTX2","down"
1.77905037083048,4.97266900636021,16.5783646751723,8.24421220941425e-45,4.17445685223691e-42,91.1777547586241,"SFRP4","up"
-1.50817430237803,7.42498831978049,-16.5236427310795,1.34039956132039e-44,6.62157383292275e-42,90.6960663476498,"CD163","down"
0.571848883866021,7.62936009588383,16.460088503371,2.35685517812894e-44,1.13656535185294e-41,90.1367588547918,"HTRA1","up"
0.777277009181715,5.63218127152758,16.409894621655,3.68011914611523e-44,1.73342170198646e-41,89.695130679809,"CCDC113","up"
0.553275407921235,7.58487685201551,16.3639692626029,5.5321813031944e-44,2.54656363897499e-41,89.2911417673008,"HLTF","up"
0.53919110584,7.12195069925957,16.3192698246115,8.2256491179942e-44,3.70227327190788e-41,88.8980162621156,"APBB3","up"
0.393535959322474,5.92259037370153,16.2886729926021,1.07912364784759e-43,4.75142833989242e-41,88.6289680855751,"INTU","up"
-0.676893905999451,5.98869432553327,-16.2824667179169,1.14020834106744e-43,4.91357015744252e-41,88.5743989890053,"SEMA4B","down"
0.526145006356318,8.6751888815208,16.202998744815,2.30734667118149e-43,9.73604155793955e-41,87.8758177633117,"CCND1","up"
-0.367759292433195,6.88307618330443,-16.1471177762025,3.78708226337031e-43,1.56537886045515e-40,87.384752510609,"TMEM189","ns"
-0.288271724538284,8.29457617595481,-16.1122748740535,5.15761310076909e-43,2.08924591485954e-40,87.0786374179152,"C1orf144","ns"
0.866461603801844,4.20675721919317,16.0326521826673,1.04446994577491e-42,4.14797927092649e-40,86.37932853984,"SLC16A9","up"
0.608708256355083,4.01916487021701,15.9707949986504,1.80663559168335e-42,7.03684562960666e-40,85.836273559805,"C1QTNF7","up"
-1.28914095459509,7.12078948620067,-15.9311040734414,2.56756261061401e-42,9.81196473875023e-40,85.487927402169,"VSIG4","down"
0.478870858254128,9.63159334612642,15.8779502119742,4.11045766517484e-42,1.54172610278613e-39,85.0215604786585,"ARHGAP1","up"
1.33384657493055,7.6872226177902,15.8240127986151,6.62521554719894e-42,2.43976573987213e-39,84.5484836087184,"OGN","up"
0.808606928815733,7.39813272995343,15.7993393092709,8.24153956074723e-42,2.98078825470311e-39,84.3321331642037,"GLT8D2","up"
