"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","sig"
1.40907883866141,9.60332087853874,12.1840070072946,5.40557884141283e-17,8.89542054142896e-13,28.1507872671661,"USP54","up"
-0.580486000243909,8.3458596106895,-10.527451216211,1.34899963673986e-14,1.10995690110956e-10,22.8875575729713,"FAM210A","down"
-0.573008315284865,9.06909615905832,-10.2792175920336,3.1766103399757e-14,1.74247665848801e-10,22.0666394120262,"CRADD","down"
-0.606688550819985,10.6077608072187,-10.0926792243934,6.07504860528884e-14,2.49927499621583e-10,21.444512313215,"STRADB","down"
-0.87330506478725,11.6015430796545,-9.9490564464543,1.00355564145481e-13,3.30290232715607e-10,20.9625209627047,"CDC14B","down"
-0.63373855070701,9.0256584130209,-9.8882042921826,1.24225259902343e-13,3.4070847949216e-10,20.7575323889648,"PTPN3","down"
0.429594855145908,6.7581409543583,9.55583118825278,4.01327257109349e-13,9.43463048998778e-10,19.6300068583529,"RADX","up"
-0.392275200849674,11.5173400665149,-9.33543298310234,8.79085891908956e-13,1.80827967965672e-09,18.8752573118779,"HDDC2","down"
0.376893609671722,6.55671286127447,9.19462084292493,1.45452380399916e-12,2.65951596873447e-09,18.3902322325619,"SPATA18","ns"
-0.507301218343573,7.21245750194633,-9.0223408821376,2.70037056737734e-12,4.44372980567616e-09,17.7939589300037,"CLEC11A","down"
1.44773754498645,7.97213627154013,8.96365078196388,3.33609844129603e-12,4.55059755392938e-09,17.5901345733782,"SLPI","up"
-0.777759118229197,7.43970675007322,-8.96283381718061,3.34593807665645e-12,4.55059755392938e-09,17.5872949129216,"HOXB2","down"
0.494609096682414,7.84620606764769,8.94293002610324,3.59490570011436e-12,4.55059755392938e-09,17.5180915495258,"SKAP2","up"
-0.638502519487729,7.39631104056992,-8.87611443758046,4.57546786217041e-12,4.70888843460991e-09,17.2854963614552,"GPCPD1","down"
-0.432859075691891,9.88094578592651,-8.8706901126871,4.66602377988668e-12,4.70888843460991e-09,17.2665944211977,"MTX2","down"
-0.555123280135922,7.36739717424812,-8.86012625707116,4.84759361297718e-12,4.70888843460991e-09,17.2297748213093,"DLEU1","down"
-0.453045611757139,7.05862334290587,-8.85915990469855,4.86455416798544e-12,4.70888843460991e-09,17.2264061305289,"TMEM266","down"
-0.615289576037279,9.63179423484051,-8.77563276764432,6.58091275453639e-12,5.39238919035605e-09,16.9348964113788,"APOO","down"
-0.416944263261056,11.2821700386044,-8.75920722303092,6.9843479594664e-12,5.39238919035605e-09,16.8774942099362,"NDUFB8","down"
-0.506797506875765,10.9523411994906,-8.74839954874832,7.26328943363738e-12,5.39238919035605e-09,16.8397111057604,"CMC2","down"
-0.377810860309017,13.261639552574,-8.74663133778337,7.30998195418581e-12,5.39238919035605e-09,16.8335285007039,"UQCRFS1","ns"
1.28672806637298,7.77415295619422,8.74441477269432,7.3689409820858e-12,5.39238919035605e-09,16.8257778048695,"CDKN1A","up"
-0.768483231741583,8.14873233796094,-8.73820192435491,7.53676175122686e-12,5.39238919035605e-09,16.8040508391872,"FASTKD1","down"
-0.526385246483258,13.1152555058355,-8.72048625611074,8.03672285909729e-12,5.51051297372104e-09,16.7420779171815,"ATP5MC3","down"
-0.49711656404375,12.2431376626794,-8.68220157798915,9.2341987369471e-12,6.07831897660806e-09,16.6080531050335,"DECR1","down"
-0.609924287864875,7.24798628962537,-8.66095104997607,9.97479004677493e-12,6.24741423679804e-09,16.53360358167,"ZNF415","down"
-0.390797967849336,8.4419589736737,-8.65344640393443,1.02503758139005e-11,6.24741423679804e-09,16.5073020402802,"UXS1","down"
0.63139827755409,7.8872298543652,8.63600074716779,1.09209925725153e-11,6.41842334904686e-09,16.4461409585634,"AVPI1","up"
-0.491708420457456,12.5411088715089,-8.5792481591766,1.34236054372452e-11,7.61720176121748e-09,16.2469931672131,"CHCHD3","down"
-0.388007134076542,11.9535623559979,-8.54543165098943,1.51815217550573e-11,8.3275707333741e-09,16.1281973769531,"ATP5PD","down"
-0.652596668852446,13.5551255193732,-8.53133405030862,1.59811384793368e-11,8.48340692954732e-09,16.0786445419064,"CKMT2","down"
-0.706019636421462,8.28751075038232,-8.5141410301699,1.70139032821506e-11,8.56723497414928e-09,16.0181887844707,"PAQR4","down"
-0.403911001439631,7.76242865407022,-8.51146974510373,1.71802840390694e-11,8.56723497414928e-09,16.0087935394001,"SYNGR1","down"
-0.478370881900034,8.67810374955996,-8.4691157272978,2.00480690490214e-11,9.48260776797315e-09,15.8597503441581,"WDR12","down"
0.989370868909635,7.67886978530834,8.46747455565756,2.01684049513284e-11,9.48260776797315e-09,15.8539721234924,"CHAD","up"
0.402404105150136,8.44598687090045,8.44560554593157,2.18430004510903e-11,9.98467820619839e-09,15.776955081319,"DDX23","up"
0.821183577592405,11.6749257853352,8.40311401249849,2.55072412931662e-11,1.13445179113606e-08,15.6272011316415,"FEZ2","up"
0.469497712158579,7.44671207498773,8.38380067293461,2.73712793738058e-11,1.17322122140217e-08,15.5590874845354,"RTTN","up"
0.790153697325279,8.01895448243766,8.37949840493846,2.78048296272998e-11,1.17322122140217e-08,15.5439104201518,"SLC7A6","up"
-0.691817218208589,9.17895829079412,-8.3337307803414,3.28671359923689e-11,1.35215397472606e-08,15.3823681027766,"NUDT8","down"
0.70426784887762,7.68213796445744,8.28996290273576,3.85735307256486e-11,1.54820980883238e-08,15.2277356844304,"LGI1","up"
-0.393683571758898,6.80882494232007,-8.26787891272538,4.18208353408171e-11,1.6385801580202e-08,15.149658792307,"ETNPPL","down"
0.298821690273846,6.89131520041284,8.23491493365333,4.71863923864464e-11,1.80581226304968e-08,15.0330503008259,"ZNF653","ns"
-0.421646517529677,6.91796359938619,-8.20902315021541,5.18818687981746e-11,1.94038189305173e-08,14.9414049379728,"RNF6","down"
-0.546287615584179,8.39664953086434,-8.2010953449999,5.34114167818746e-11,1.95319616569451e-08,14.9133346056886,"LYPLA1","down"
-0.47827993652222,8.4660660725502,-8.18909946704169,5.58124390042719e-11,1.9721098788947e-08,14.8708519383409,"MTRES1","down"
0.691141497253891,8.19594090894651,8.18660368173663,5.63254523019269e-11,1.9721098788947e-08,14.8620120133416,"SELENOM","up"
0.563094336263346,8.36471408109571,8.17103181702701,5.96350361912689e-11,2.04448782409067e-08,14.8068476930209,"HYI","up"
0.521377529031739,7.93873744890193,8.16176902594338,6.16956916769345e-11,2.07196796374619e-08,14.77402579344,"ZNF274","up"
0.461758482022979,13.4091923001746,8.15398998636074,6.34814384076972e-11,2.08574661086258e-08,14.7464569356159,"CEP135","up"
-0.474292249316779,8.67240707334472,-8.14905597285285,6.46409073614435e-11,2.08574661086258e-08,14.7289687088625,"ITGB1BP2","down"
-0.484200200503201,8.82357890849619,-8.1215555872992,7.15042929010384e-11,2.22196844292227e-08,14.6314658727537,"NDUFAF4","down"
-0.515767979231086,10.3540546738642,-8.12133139227815,7.15631547611086e-11,2.22196844292227e-08,14.6306707810543,"SLC25A11","down"
0.410790757478114,7.90130104748416,8.07164243559607,8.58865566055882e-11,2.61731328796585e-08,14.4543715949545,"CBLB","up"
-0.738960953887107,8.20210723847464,-8.05276796732954,9.20534082295024e-11,2.75423797422671e-08,14.3873624772314,"KAZALD1","down"
0.793801377226777,8.24620905549136,8.04068913347775,9.62313791051043e-11,2.82782781170285e-08,14.344467845597,"EPB41L3","up"
0.354894085945539,8.51044458565709,8.00057857620743,1.11520846188584e-10,3.21962639452517e-08,14.2019618898942,"ATG12","ns"
-0.349833292095525,12.2125943196514,-7.97480159605176,1.22611615566766e-10,3.47878749270121e-08,14.1103295312206,"PDHA1","ns"
0.402246897012994,10.3598716150503,7.94403140596683,1.3731056131331e-10,3.82980101181667e-08,14.0008962727174,"RBM5","up"
-0.423629064629713,7.90301349398699,-7.93581481223174,1.41526648748037e-10,3.88160421966282e-08,13.9716649989373,"COX20","down"
-0.594423392320415,9.3109858019598,-7.92190522876851,1.48962286312945e-10,3.9138093709971e-08,13.9221716990872,"HEXIM2","down"
0.916874900573848,7.39030889086046,7.92112409152493,1.49391302136578e-10,3.9138093709971e-08,13.9193919220598,"CFAP61","up"
-0.33981773556601,8.60907939578841,-7.9203169188225,1.49835920255723e-10,3.9138093709971e-08,13.9165194587001,"IDH1","ns"
-0.422931361307372,11.2370254658058,-7.91474311766359,1.52942631780246e-10,3.93253741964958e-08,13.8966831340695,"NARS1","down"
-0.4272070623804,8.52103872137693,-7.88771267687299,1.68950966584232e-10,4.21663722366235e-08,13.800461535089,"UQCRB","down"
0.593968700764487,11.970184132478,7.88744686639737,1.69116466189666e-10,4.21663722366235e-08,13.7995151184075,"NT5C2","up"
-0.470644689340515,8.03266033439823,-7.87942871904492,1.74185972437574e-10,4.27821546631749e-08,13.7709647591709,"SDHAF3","down"
0.579449639815506,9.80898580410498,7.87271538554459,1.78547644753117e-10,4.3109014906827e-08,13.7470578198413,"ABLIM2","up"
-0.393678764762894,8.46928579161952,-7.86937875328313,1.80756078547099e-10,4.3109014906827e-08,13.7351748008515,"GON7","down"
-0.404491296065928,7.4777950743894,-7.86217102890022,1.85620726176389e-10,4.36367809994095e-08,13.7095033323431,"DOP1B","down"
0.950892047095511,9.62887496304114,7.82981780878721,2.09127263110124e-10,4.84703977709886e-08,13.5942386985368,"FOXO1","up"
0.622945627416184,10.2509994354489,7.82306092639765,2.14401795120745e-10,4.90027213959302e-08,13.5701591988373,"TSC22D1","up"
0.48898447156324,13.1775969352044,7.79317985941692,2.3937523173655e-10,5.32332199785865e-08,13.4636446012722,"RAD51B","up"
0.737740183347603,7.6686685899787,7.79317301288971,2.39381276033994e-10,5.32332199785865e-08,13.4636201909552,"LOXL4","up"
0.512665588591538,13.4418993861706,7.7523130395429,2.78324318609492e-10,6.10680664938373e-08,13.3178995836707,"KBTBD6","up"
-0.449933184573004,10.3354362460527,-7.74104640333453,2.90139524937598e-10,6.26852259499734e-08,13.2777050659884,"MICOS13","down"
0.531924017476449,12.4641920675315,7.73809844732262,2.9331322302795e-10,6.26852259499734e-08,13.2671870591987,"ARSG","up"
