"gene","module"
"NPPB","purple"
"NPPA","brown"
"SERPINA3","green"
"PLA2G2A","blue"
"ADIPOQ","black"
"HMGCS2","magenta"
"UGT2B7","grey"
"SNORA14A","pink"
"RNU4-2","pink"
"EIF1AY","grey"
"MYH6","green"
"GSTM1","grey"
"HBB","yellow"
"NEB","brown"
"AREG","cyan"
"VTRNA1-1","pink"
"UGT2B4","turquoise"
"SFRP4","yellow"
"POSTN","greenyellow"
"CHST9","magenta"
"ZFP57","grey"
"MGST1","black"
"F5","grey"
"CYP4B1","salmon"
"RBP4","black"
"GUCA1C","brown"
"AQP4","magenta"
"CCL2","lightcyan"
"CD163","green"
"ASPN","yellow"
"DHRS7C","magenta"
"SERPINE1","red"
"ATRNL1","brown"
"HBA2","yellow"
"HBA1","yellow"
"MYL4","grey"
"FCN3","green"
"S100A8","blue"
"MGC39372","grey"
"LYVE1","blue"
"TNC","blue"
"SLCO4A1","green"
"FRZB","yellow"
"SNORA60","pink"
"COL14A1","yellow"
"CCL21","black"
"SCD","black"
"AOX1","black"
"SLN","yellow"
"SNORA36A","pink"
"DLK1","grey"
"TGFB2","purple"
"SGPP2","magenta"
"IGJ","tan"
"ADH1B","black"
"HAPLN1","brown"
"FLJ34503","turquoise"
"VSIG4","blue"
"ADAMTS4","lightcyan"
"SNORD115-11","brown"
"IL1RL1","green"
"CPNE5","turquoise"
"MIR208A","green"
"CP","blue"
"SPP1","blue"
"PDE8B","purple"
"LOC654433","grey"
"ANKRD2","green"
"CHRDL1","black"
"KCNIP2","magenta"
"MXRA5","greenyellow"
"SCARNA4","pink"
"FOS","lightcyan"
"PLIN1","black"
"MAL2","black"
"RNU4-1","pink"
"PI16","yellow"
"SLC6A6","blue"
"MYL7","grey"
"EGR1","lightcyan"
"SNORD45B","pink"
"S100A12","blue"
"DSC1","brown"
"CCRL1","yellow"
"MT1M","cyan"
"LTBP2","brown"
"C6","turquoise"
"GALNTL2","salmon"
"EDIL3","grey"
"THBS4","brown"
"LEPREL1","brown"
"SERPINE2","blue"
"GADD45G","purple"
"SNORA42","pink"
"MMRN1","black"
"NR4A2","lightcyan"
"DAB1","grey"
"LOC284757","turquoise"
"PHLDA1","brown"
"OGN","yellow"
"FMOD","yellow"
"STC1","cyan"
"NAP1L3","brown"
"CD24","grey"
"SHISA3","green"
"PROM1","brown"
"LOC162632","grey"
"C5orf23","brown"
"SLC27A6","turquoise"
"MT1A","cyan"
"ADAMTS9","green"
"PRG4","blue"
"MIR21","lightcyan"
"HAS2","blue"
"IGHD","tan"
"HLA-DRB5","grey"
"LOC121952","brown"
"COLQ","brown"
"STAT4","grey"
"CCL18","blue"
"SMOC2","yellow"
"FNDC1","yellow"
"SNORD3A","pink"
"C3","black"
"F13A1","blue"
"NPR3","brown"
"CD14","blue"
"IGLJ3","tan"
"SFRP1","brown"
"CNN1","red"
"GGTA1","brown"
"DOK5","brown"
"TLL2","brown"
"MYH11","grey60"
"SNORD6","pink"
"FLJ34690","brown"
"FAM179A","magenta"
"MT1X","cyan"
"NOX4","greenyellow"
"GPD1","black"
"TNFRSF11B","purple"
"FIGF","turquoise"
"TIMP1","blue"
"WNT9A","brown"
"FGF18","brown"
"HLA-DQA1","tan"
"CORIN","magenta"
"DDX3Y","grey"
"SNORD116-14","pink"
"LYZ","blue"
"CPM","salmon"
"FCER1G","blue"
"FAM180A","grey"
"DIRAS3","brown"
"PDE1A","brown"
"METTL7B","green"
"ALOX5AP","blue"
"SNORA73A","pink"
"SLCO2A1","green"
"ANPEP","blue"
"FKBP5","salmon"
"CXCL10","tan"
"SNORD115-26","brown"
"GFPT2","blue"
"CTGF","greenyellow"
"FAIM2","black"
