"gene","module"
"RPS4Y1","salmon"
"EIF1AY","salmon"
"RPS4Y2","salmon"
"MAOA","grey"
"ACTN3","grey"
"HLA-A","grey"
"HLA-DRB3","grey"
"IGFN1","turquoise"
"HBA1","grey"
"SERPINA5","grey"
"HLA-DQA1","grey"
"ATP5MK","turquoise"
"HBA2","grey"
"CAPZA1","grey"
"TLCD3B","turquoise"
"NMRK2","turquoise"
"PDK4","grey"
"HBB","grey"
"USP54","greenyellow"
"GADD45G","black"
"HBD","grey"
"SLPI","blue"
"ANKRD1","grey"
"TMEM70","salmon"
"CDKN1A","blue"
"CALML6","yellow"
"ACTA2","red"
"MYH8","blue"
"KDM5D","salmon"
"MYBPH","grey"
"HMGCS2","grey"
"ACTC1","pink"
"FOXO1","greenyellow"
"KLHL34","turquoise"
"HBG2","grey"
"MT1X","greenyellow"
"DLK1","yellow"
"SLC16A3","turquoise"
"FRZB","brown"
"HLA-DRB5","grey"
"TPPP3","pink"
"C1D","turquoise"
"G0S2","grey"
"RRAD","red"
"TFRC","turquoise"
"MYH1","grey"
"NNMT","blue"
"RPL14","black"
"ADH1B","blue"
"HLA-DRB4","blue"
"MYH11","red"
"FBP2","turquoise"
"RERGL","blue"
"FKBP5","greenyellow"
"NQO2","turquoise"
"CCN2","red"
"SH3RF2","blue"
"RPH3AL","grey"
"HBG1","grey"
"POMZP3","turquoise"
"SCGB1D2","turquoise"
"UBA52","grey"
"C1QB","tan"
"AKR1C2","grey"
"ANKRD2","grey"
"BTG2","blue"
"LINC00339","grey"
"PLVAP","red"
"C4orf54","brown"
"CITED2","yellow"
"SH2D1B","salmon"
"COL3A1","grey"
"MFAP5","pink"
"CFAP61","blue"
"SOX18","red"
"ADH1C","blue"
"PCOLCE2","pink"
"MLF1","black"
"GCSH","turquoise"
"ALPK2","grey"
"AKR1C3","grey"
"SLC38A1","turquoise"
"RRP12","grey"
"MTFP1","turquoise"
"TNFRSF12A","grey"
"CHAD","greenyellow"
"SLC25A25","grey"
"THBS4","pink"
"LRRC3B","grey"
"CDC14B","turquoise"
"SGK1","grey"
"MT1H","blue"
"NHERF2","red"
"BASP1-AS1","yellow"
"S100A6","pink"
"TTN","cyan"
"GLT1D1","turquoise"
"ECEL1","turquoise"
"LDHB","turquoise"
"ADH1A","blue"
"GATM","grey"
"MLLT11","turquoise"
"UTY","salmon"
"IL32","grey"
"S100A4","pink"
"GSTT1","grey"
"GPAT3","black"
"LUM","pink"
"ZFP36","blue"
"MT1JP","yellow"
"HYAL4","salmon"
"MYOD1","blue"
"FOLR2","tan"
"NEDD1","brown"
"RYR3","grey"
"IFITM1","magenta"
"PAQR9","turquoise"
"ANAPC1","turquoise"
"PTGDS","red"
"FLNA","red"
"GSTM1","turquoise"
"NDUFS1","brown"
"CA4","grey"
"LRP1B","yellow"
"TMEM9","brown"
"AKR1C1","grey"
"GSDMC","grey"
"MLLT1","midnightblue"
"FASTKD1","turquoise"
"MXRA5","grey"
"MYL5","grey"
"CCN3","pink"
"RPL9","black"
"USP9Y","salmon"
"LPL","grey"
"RSPO3","turquoise"
"ANKRD37","greenyellow"
"ZNF417","yellow"
"HSPB6","grey"
"GGT7","salmon"
"HLA-DPA1","tan"
"ZBTB16","blue"
"CKB","grey"
"SLC25A33","blue"
"RCAN2","turquoise"
"APOD","greenyellow"
"EPB41L3","pink"
"OGN","grey"
"SOCS2","brown"
"MYOZ2","grey"
"CCN5","pink"
"SLC25A12","turquoise"
"CIAO2A","brown"
"RRAS2","turquoise"
"THNSL2","grey"
"LMO2","turquoise"
"PAQR4","turquoise"
"CYP1B1","pink"
"NAPRT","blue"
"OLFM1","brown"
"NUDT2","turquoise"
"CRIP1","pink"
"LOXL4","blue"
"MAP3K7CL","greenyellow"
"TRPT1","turquoise"
"APOBEC3A","yellow"
"FKBP14","yellow"
"SLC43A2","blue"
"CFD","red"
"CASTOR3P","red"
"MRPL57","yellow"
"AURKA","salmon"
"CXCL14","blue"
"HSPB1","yellow"
"PNPLA7","blue"
"UCHL1","grey"
"CCDC3","pink"
"LGI1","yellow"
"ARRDC2","black"
"MYOC","yellow"
"HYAL1","grey"
"SLC7A6","greenyellow"
"JCHAIN","tan"
"PRSS23","turquoise"
"DEPP1","grey"
"UCP3","turquoise"
"HSPA2","grey"
"CLU","red"
"SLC26A4","yellow"
"KLF15","grey"
"MRFAP1L1","green"
"USP6","blue"
"FNDC5","lightcyan"
"EXOSC2","yellow"
"CEBPD","grey"
"FABP7","grey"
"CD74","tan"
"CSRP1","red"
"ELMOD3","midnightblue"
"S100A1","turquoise"
"NFKBIA","grey"
"CA14","turquoise"
"ID1","red"
"RASIP1","red"
"TIMM10","grey"
"TMEM17","yellow"
"IRS1","turquoise"
"DGCR6","green"
"NPR3","brown"
"UCP2","grey"
"VWF","red"
"DPT","pink"
"NOTUM","yellow"
"KLF13","greenyellow"
"CLEC3B","pink"
"ASPN","grey"
"TXNIP","grey"
"CCDC69","green"
"ZFP36L1","blue"
"SH3KBP1","turquoise"
"ZMAT3","yellow"
"DNAAF6","yellow"
"ABRA","blue"
"NUDT8","turquoise"
"HACD1","turquoise"
"TAGLN","red"
"BHLHE40","red"
"DMC1","yellow"
"NDUFA5","black"
"TPI1P2","turquoise"
"S100A10","pink"
"CMKLR2","yellow"
"MT1M","yellow"
"MCM8","yellow"
"MYH9","red"
"MYL6B","salmon"
"DHCR24","grey"
"PDXDC2P-NPIPB14P","grey"
"XIRP1","grey"
"ADIRF","blue"
"PMP22","blue"
"AVPI1","blue"
"TUBGCP4","yellow"
"FEZ2","greenyellow"
"IL17D","grey"
"HLA-B","tan"
"OVOL2","yellow"
"ZNF430","yellow"
"AQP4","brown"
"DAAM2","turquoise"
"IFI27","magenta"
"DUSP19","yellow"
"MS4A6A","tan"
"JUND","greenyellow"
"XPO4","grey"
"SEMA3C","black"
"PYROXD2","grey"
"PINK1","green"
"KCNH6","yellow"
"KIF25","grey"
"EGR1","magenta"
"CCND1","yellow"
"DDIT4L","turquoise"
"MTURN","grey"
"USH1G","midnightblue"
"LYZ","tan"
"TIMP1","pink"
"NUBP2","yellow"
"NXPE2","yellow"
"PIP4K2B","yellow"
"NRG4","lightcyan"
"GPNMB","salmon"
"PDLIM2","grey"
"FAM107A","blue"
"COL1A2","grey"
"SLITRK4","grey"
"CSF3","black"
"ADAMTS5","pink"
"TSPAN8","grey"
"DMD","yellow"
"APOO","turquoise"
"FOS","blue"
"SELENOM","blue"
"KAZALD1","turquoise"
"NFIC","cyan"
"DMRT2","turquoise"
"CD300LG","magenta"
"ZDHHC2","black"
"SEMA3E","yellow"
"ANKLE1","yellow"
"ANGPTL2","pink"
"ANKRD44","yellow"
"SWSAP1","yellow"
"DIP2B","yellow"
"CAST","black"
"MTCP1","turquoise"
"CHRNA1","tan"
"NR1D1","turquoise"
"NUPR1","grey"
"MT2A","blue"
"EIF5A","turquoise"
"CYP4B1","blue"
"MGP","pink"
"RBM3","salmon"
"IGF1","brown"
"TMSB4XP1","black"
"CDCA7L","turquoise"
"SOD3","red"
"PPDPF","yellow"
"AKR1C4","grey"
"TMSB4X","black"
"TEP1","yellow"
"MYOM3","green"
"AMPD3","pink"
"KLF10","blue"
"RPS6KB2","turquoise"
"SLCO1A2","turquoise"
"FN1","pink"
"CYP2J2","turquoise"
"SYNJ2BP","brown"
"CSRP3","grey"
"EXOSC7","yellow"
"SCT","turquoise"
"LINC00310","blue"
"ID3","red"
"IER5","blue"
"C5orf24","yellow"
"CEP19","yellow"
"FABP4","magenta"
"XIAP","yellow"
"RGPD4","yellow"
"FBXO32","grey"
"TUBA3C","black"
"COQ10A","turquoise"
"PDLIM1","grey"
"ZNF14","yellow"
"PTPN3","turquoise"
"EXTL1","grey"
"PRG4","pink"
"PTPN4","cyan"
"EIF2S3","grey"
"TBC1D1","turquoise"
"LGI4","blue"
"IFI6","magenta"
"HLA-DRA","tan"
"MYH3","pink"
"APOE","blue"
"MAFG","blue"
"TSC22D1","greenyellow"
"FYTTD1","black"
"PPP1R16A","red"
"SYAP1","yellow"
"ESAM","red"
"NIBAN1","black"
"VASP","red"
"PDLIM5","yellow"
"SCD","blue"
"KLHL28","yellow"
"FUT6","yellow"
"PRADC1","turquoise"
"NT5C2","yellow"
"TMEM267","yellow"
"FN3K","grey"
"FLRT3","yellow"
"SEPTIN5","blue"
"HLA-E","tan"
"ZNF665","yellow"
"KCNJ2","yellow"
"TOMM40L","turquoise"
"ALDH1A1","salmon"
"TUBB4B","grey"
"PCOLCE","pink"
"COL6A2","pink"
"APLNR","magenta"
"C1orf54","turquoise"
"C1S","pink"
"GPD1","turquoise"
"LDAF1","yellow"
"IDO2","midnightblue"
"MARCHF3","turquoise"
"SF3A3","grey"
"CATSPER2","yellow"
"AHR","yellow"
"EFHD1","red"
"CIART","grey"
"NME2","turquoise"
"HLA-C","tan"
"SCIN","yellow"
"SMN1","black"
"IGFBP7","pink"
"POLR2E","grey"
"H2AC20","grey"
"RGS3","lightcyan"
"TRIM63","grey"
"TEF","grey"
"ZNF33A","yellow"
"IGFBP6","pink"
"GPT2","grey"
"ZNF415","turquoise"
"EXO5","yellow"
"C9orf85","yellow"
"FBXW8","grey"
"ASS1","grey"
"FMO3","greenyellow"
"S100A8","grey"
"CKMT2","turquoise"
"NFATC3","yellow"
"IFRD1","greenyellow"
"PPA2","black"
"SERTAD1","red"
"CHAF1B","grey"
"NINJ2","grey"
"FBN1","pink"
"ZNF786","yellow"
"HLA-DPB1","tan"
"LMOD1","grey"
"HCFC1R1","green"
"ZNF542P","yellow"
"DLEU1","turquoise"
"TCIM","magenta"
"IPO7","brown"
"PUDP","grey"
"ZNF623","yellow"
"NFAT5","yellow"
"IDO1","magenta"
"LRRN1","grey"
