"gene","HF_logFC","HF_dir","SAR_logFC","SAR_dir","in_module_HF","in_module_SAR","concordant","mean_absFC"
"LUM",1.2470992128645,"up",0.664069158113172,"up",FALSE,FALSE,TRUE,0.955584185488836
"SFRP1",1.03913058812955,"up",0.445185643102407,"up",TRUE,FALSE,TRUE,0.742158115615979
"MFAP4",0.897561166486778,"up",0.490801439248303,"up",FALSE,FALSE,TRUE,0.69418130286754
"MTFP1",-0.430300270343937,"down",-0.871939595725928,"down",TRUE,TRUE,TRUE,0.651119933034933
"DPT",0.805652585929377,"up",0.475784289202627,"up",FALSE,FALSE,TRUE,0.640718437566002
"MYH11",0.413492043062404,"up",0.867133570787571,"up",FALSE,FALSE,TRUE,0.640312806924987
"CCDC3",0.622064713219772,"up",0.599661127246799,"up",FALSE,FALSE,TRUE,0.610862920233285
"CXCL14",0.626354923711813,"up",0.571332272184355,"up",FALSE,FALSE,TRUE,0.598843597948084
"ATP1B4",0.51409259595368,"up",0.674777092131638,"up",TRUE,FALSE,TRUE,0.594434844042659
"HSPA2",0.647443875248675,"up",0.450451790969456,"up",TRUE,FALSE,TRUE,0.548947833109065
"PPM1K",0.581188084437999,"up",0.450333945106444,"up",FALSE,FALSE,TRUE,0.515761014772221
"XPO4",0.474666987907542,"up",0.553158842677652,"up",TRUE,FALSE,TRUE,0.513912915292597
"NAMPT",-0.566011476066167,"down",-0.449685909680142,"down",TRUE,FALSE,TRUE,0.507848692873154
"CA14",-0.523104597760299,"down",-0.449229487856178,"down",FALSE,TRUE,TRUE,0.486167042808239
"CCND1",0.526145006356318,"up",0.443020032635942,"up",TRUE,FALSE,TRUE,0.48458251949613
"PCOLCE2",0.471996730324459,"up",0.488930119178257,"up",FALSE,FALSE,TRUE,0.480463424751358
"EIF4EBP1",-0.411403661001951,"down",-0.505476439187825,"down",TRUE,TRUE,TRUE,0.458440050094888
"PITPNM1",-0.460433973403671,"down",-0.416312356769904,"down",TRUE,TRUE,TRUE,0.438373165086787
"FBLN1",0.380179234983799,"up",0.496461233462975,"up",FALSE,FALSE,TRUE,0.438320234223387
"CENPV",-0.459901780745462,"down",-0.409098480396736,"down",TRUE,FALSE,TRUE,0.434500130571099
"ABCA8",0.461003866160413,"up",0.403094216829897,"up",TRUE,FALSE,TRUE,0.432049041495155
"NUDT4",-0.452341340271932,"down",-0.398688925187058,"down",TRUE,TRUE,TRUE,0.425515132729495
"ERAP2",0.38403841661349,"up",0.454536555993215,"up",FALSE,FALSE,TRUE,0.419287486303352
"CYBRD1",0.38633824080822,"up",0.439374586604883,"up",FALSE,FALSE,TRUE,0.412856413706551
"HLA-DPA1",0.393909621771702,"up",0.430793829475327,"up",FALSE,FALSE,TRUE,0.412351725623515
"MAGED2",0.378397590850627,"up",0.421431934012926,"up",TRUE,FALSE,TRUE,0.399914762431776
