"db","ID","Description","GeneRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO_CC","GO:0031012","extracellular matrix","10/59",1.74174373334206e-06,0.000134785016285574,0.000110142880344167,"LUM/SFRP1/MFAP4/DPT/FBLN1/C1QB/TIMP1/F13A1/ADAMTS5/ANGPTL4",10
"GO_CC","GO:0030312","external encapsulating structure","10/59",1.77348705638913e-06,0.000134785016285574,0.000110142880344167,"LUM/SFRP1/MFAP4/DPT/FBLN1/C1QB/TIMP1/F13A1/ADAMTS5/ANGPTL4",10
"GO_CC","GO:0072562","blood microparticle","5/59",6.9199571988427e-05,0.00325069557892951,0.00265638558388977,"HSPA2/C1QB/F13A1/C3/ANGPTL4",5
"GO_CC","GO:0071953","elastic fiber","2/59",8.55446204981451e-05,0.00325069557892951,0.00265638558388977,"MFAP4/FBLN1",2
"GO_CC","GO:0031093","platelet alpha granule lumen","3/59",0.00102979326691624,0.0313057153142538,0.0255822327360246,"MAGED2/TIMP1/F13A1",3
"GO_CC","GO:0106139","symbiont cell surface","2/59",0.00157959651532547,0.0400164450549119,0.0327004190891939,"C1QB/C3",2
"KEGG","hsa04936","Alcoholic liver disease","6/41",3.34623863747515e-05,0.00525359466083599,0.00390981567115518,"CCND1/C1QB/ADH1B/CD14/ADH1A/C3",6
"KEGG","hsa04978","Mineral absorption","4/41",0.000135280592045044,0.0106195264755359,0.00790323458789467,"ATP1B4/CYBRD1/MT1X/MT1M",4
"KEGG","hsa05216","Thyroid cancer","3/41",0.000538249861654741,0.0281684094265981,0.0209634156644478,"CCND1/CDKN1A/RXRG",3
"KEGG","hsa05152","Tuberculosis","5/41",0.00106497107482842,0.0418001146870156,0.0311083656068303,"HLA-DPA1/CEBPB/CD14/MRC1/C3",5
"Reactome","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","5/48",8.45107460564109e-05,0.0256912668011489,0.0231292568154388,"CCND1/CDKN1A/TIMP1/F13A1/BCL6",5
