"gene","LASSO","RF","SVM-RFE","Boruta","XGBoost","glmBoost","vote"
"MTFP1",1,1,1,1,1,1,6
"ATP1B4",1,1,1,1,1,1,6
"PPM1K",1,1,1,1,1,1,6
"NAMPT",1,1,1,1,1,1,6
"EIF4EBP1",1,1,1,1,1,1,6
"PITPNM1",1,1,1,1,1,1,6
"FBLN1",1,1,1,1,1,1,6
"MAGED2",1,1,1,1,1,1,6
"CENPV",1,0,1,1,1,1,5
"ERAP2",1,1,1,1,0,1,5
"MYH11",0,1,0,1,1,1,4
"NUDT4",1,0,1,1,0,1,4
"CCND1",0,1,0,1,1,0,3
"LUM",0,0,1,1,0,0,2
"SFRP1",0,1,0,1,0,0,2
"DPT",1,0,1,0,0,0,2
"CXCL14",0,0,0,1,1,0,2
"HSPA2",0,0,0,1,1,0,2
"ABCA8",0,1,0,1,0,0,2
"MFAP4",0,0,0,1,0,0,1
"CCDC3",0,0,0,1,0,0,1
"XPO4",0,0,0,1,0,0,1
"CA14",0,0,0,1,0,0,1
"CYBRD1",0,0,0,1,0,0,1
"PCOLCE2",0,0,0,0,0,0,0
"HLA-DPA1",0,0,0,0,0,0,0
