"disease","cohort","type","n","auc","ci_low","ci_high","genes"
"HF","GSE57338(internal)","panel",313,0.967431040212695,0.948108651850793,0.986753428574598,8
"HF","GSE5406","panel",210,0.917203608247423,0.80751294138616,1,8
"HF","GSE5406","EIF4EBP1",210,0.793170103092784,NA,NA,1
"HF","GSE5406","PITPNM1",210,0.604059278350516,NA,NA,1
"HF","GSE5406","MAGED2",210,0.875161082474227,NA,NA,1
"HF","GSE5406","NUDT4",210,0.679606958762887,NA,NA,1
"HF","GSE5406","NAMPT",210,0.821359536082474,NA,NA,1
"HF","GSE5406","CCND1",210,0.823775773195876,NA,NA,1
"HF","GSE5406","FBLN1",210,0.872744845360825,NA,NA,1
"HF","GSE5406","ERAP2",210,0.509342783505155,NA,NA,1
