"disease","cohort","type","n","auc","ci_low","ci_high","genes"
"SAR","GSE8479(internal)","panel",51,1,1,1,8
"SAR","GSE1428","panel",22,0.641666666666667,0.387054584814273,0.89627874851906,8
"SAR","GSE1428","EIF4EBP1",22,0.5,NA,NA,1
"SAR","GSE1428","PITPNM1",22,0.641666666666667,NA,NA,1
"SAR","GSE1428","MAGED2",22,0.791666666666667,NA,NA,1
"SAR","GSE1428","NUDT4",22,0.591666666666667,NA,NA,1
"SAR","GSE1428","NAMPT",22,0.558333333333333,NA,NA,1
"SAR","GSE1428","CCND1",22,0.591666666666667,NA,NA,1
"SAR","GSE1428","FBLN1",22,0.575,NA,NA,1
"SAR","GSE1428","ERAP2",22,0.616666666666667,NA,NA,1
"SAR","GSE25941","panel",36,0.72063492063492,0.542804197263568,0.898465644006274,8
"SAR","GSE25941","EIF4EBP1",36,0.746031746031746,NA,NA,1
"SAR","GSE25941","PITPNM1",36,0.59047619047619,NA,NA,1
"SAR","GSE25941","MAGED2",36,0.558730158730159,NA,NA,1
"SAR","GSE25941","NUDT4",36,0.5,NA,NA,1
"SAR","GSE25941","NAMPT",36,0.704761904761904,NA,NA,1
"SAR","GSE25941","CCND1",36,0.6,NA,NA,1
"SAR","GSE25941","FBLN1",36,0.780952380952381,NA,NA,1
"SAR","GSE25941","ERAP2",36,0.542857142857143,NA,NA,1
