"cell","GSM210289","GSM210290","GSM210291","GSM210292","GSM210293","GSM210294","GSM210295","GSM210296","GSM210297","GSM210298","GSM210299","GSM210300","GSM210301","GSM210302","GSM210303","GSM210304","GSM210305","GSM210306","GSM210307","GSM210308","GSM210309","GSM210310","GSM210311","GSM210312","GSM210313","GSM210314","GSM210315","GSM210316","GSM210317","GSM210318","GSM210319","GSM210320","GSM210321","GSM210322","GSM210323","GSM210324","GSM210325","GSM210326","GSM210327","GSM210328","GSM210329","GSM210330","GSM210331","GSM210332","GSM210333","GSM210334","GSM210335","GSM210336","GSM210337","GSM210338","GSM210339"
"CD8 T cells",-0.383304259818258,-0.398352317941697,-0.52240365477771,-0.23181130730808,-0.404494167808576,-0.441828226170482,-0.487225188623257,-0.324034787977146,-0.37005613583987,-0.444428522842712,-0.247722811493066,-0.302790403880137,-0.514716685691539,-0.458970072597792,-0.522682387536465,-0.330461441012704,-0.469511945069124,-0.260202732451441,-0.409117057532481,-0.275028994689921,-0.431308397462421,-0.45301841005565,-0.307486524227688,-0.441763837428138,-0.376103069018992,-0.41186648949259,-0.456021835016887,-0.313930441255568,-0.460166374558627,-0.280791430446467,-0.264788606368043,-0.560176216772452,-0.183848217654454,-0.268018883016138,-0.305837143122326,-0.539119595551409,-0.349578805747277,0.180005432538449,-0.279940517374667,-0.295714639002009,-0.316411664983977,-0.37370783238119,-0.497495098848177,-0.328784684147835,-0.295626038156889,-0.527050382617058,-0.35597694947472,-0.328811350880567,-0.506785345328786,-0.486855693440645,-0.312617492754132
"CD4 T cells",0.0609169051544995,-0.0737025320197331,-0.136280858918713,0.00546103057326234,0.0865318161928623,-0.041657155116413,-0.0365119649047117,-0.0396559118832885,-0.0108309199275163,0.0277395359540657,-0.0593355331743948,0.045592294364283,-0.123411871686523,-0.0399996676498042,-0.0661912299613767,-0.097991158894957,0.0119406317004575,-0.0557096626394392,-0.106234646665268,3.17284913131179e-05,-0.0639099704741061,-0.123366952236884,-0.136848595815698,-0.0882338414749255,-0.068617662900534,-0.0783788840561369,0.0272304433089513,0.038886570517228,-0.127698559085873,-0.034958590810811,-0.0169281341662222,-0.0254839833322603,-0.0428137250039421,-0.0498384987782866,-0.0254440069674766,-0.058635145076901,0.0890408579166121,0.131710233039474,-0.0243397432279693,-0.0443621457104147,-0.0442069264301983,-0.0548247909866196,-0.0705840798196132,-0.0797616135364217,-0.0689021339871366,-0.041145721460344,-0.0724844366676277,-0.031158427879807,-0.0581614716462666,-0.0469015522667158,0.0623135102080639
"Tregs",-0.605491342526084,-0.461381074575009,-0.582562176650684,-0.452972319910228,-0.372954037696387,-0.560926379600053,-0.551004432783723,-0.587465966892792,-0.649466495589921,-0.501656842861999,-0.554002886413232,-0.413713954650854,-0.531022193084122,-0.570732098614778,-0.435453926267311,-0.582596474983367,-0.43298962155485,-0.545548281105366,-0.427960863804595,-0.510166873779868,-0.512431453857665,-0.423594395087036,-0.427036505294569,-0.613851985161011,-0.578425456651322,-0.493752514357381,-0.556099378760498,-0.451382459301418,-0.560762382246898,-0.510584533224268,-0.382508723937891,-0.616020039386702,-0.479474404407018,-0.388400701709675,-0.483442812282414,-0.439141886885563,-0.419537137067298,-0.359706720210129,-0.494082185477018,-0.526349370230429,-0.525824175016531,-0.507675083520485,-0.49689089016645,-0.545671847472095,-0.546718585362386,-0.429341313894044,-0.577939639619165,-0.478388073083587,-0.560476377131413,-0.444876740214375,-0.523795314110749
"Th1 cells",-0.0321062854974221,-0.0870458616042116,-0.0177280335748487,-0.0795143305707802,-0.0501234172927555,-0.0936393713298614,-0.0110074843531399,-0.105598344179876,-0.07482466834064,-0.0896210555503367,0.0233010290875667,-0.0272318868632137,-0.0859918569514045,-0.120098286601274,-0.102583252988814,-0.031276067527526,-0.0550074448619339,0.0255007632177682,-0.0973749722846217,-0.066704867800641,-0.126513980872971,-0.0768075593156472,-0.0794277069563577,-0.00353749292837305,-0.0995901648799197,-0.0577236934122756,-0.0820355925790818,-0.142046852528007,-0.0981111496945347,-0.0366441169458719,-0.105253067407333,-0.0251781480945542,-0.0318055977614648,-0.0787212778021145,-0.0835057189811231,-0.0994919118781241,-0.104902098816166,0.104940027060897,-0.117311888414539,-0.0459587374565522,-0.0602601736698446,-0.115697605543121,-0.0258780680250216,0.0172441389248922,-0.174751282460862,-0.125945704812993,-0.0854348849849773,-0.067368889930738,-0.114007991879538,-0.0991470668377693,-0.0269593088652959
"Th2 cells",-0.255535631646352,-0.425581291325698,-0.308719891925847,-0.297714899705339,-0.281895876665022,-0.37977836002386,-0.310205160096957,-0.260566214286276,-0.342466957977694,-0.568097766406644,-0.25999267589209,-0.361010234999088,-0.469668307914993,-0.336450257095867,-0.402099351677424,-0.419481617792964,-0.377621421919907,-0.414172956239523,-0.53833463877834,-0.352164192429532,-0.236991212658958,-0.542563875625721,-0.550892948493394,-0.516923784820276,-0.391862322586812,-0.401729502924307,-0.238891793558411,-0.335955122124702,-0.525495580829566,-0.458452929055414,-0.490684062033367,-0.322656546304955,-0.342748629528058,-0.401221029922751,-0.370918112048497,-0.458627415631939,-0.514146017883829,-0.347703020266685,-0.431744727400143,-0.449476701042191,-0.361426774822031,-0.494792661970326,-0.354512297609519,-0.402606146182853,-0.433818522359267,-0.470113621425798,-0.463750410241588,-0.247340332993511,-0.487979374077965,-0.390781419999775,-0.360599389370961
"Tfh cells",-0.01627618305022,0.0458296859294025,-0.00533000590226959,-0.0423811725614705,-0.00154542489797691,3.33921742351718e-05,0.0511701568258443,0.00778026972481428,-0.0698238617862562,-0.0517526214213211,-0.0746304225570522,0.0589158776997632,-0.123238204674673,0.0153699339092996,-0.000391861343597751,0.0190222965322205,0.0505350225063092,-0.0232267605944091,0.0820179517793195,0.0463770884388345,-0.0108365726833591,-0.0386189841332014,-0.0651255252582764,-0.0444820026756817,-0.011333373125293,0.0142709606505435,0.0318333614939032,0.0317168438612774,-0.0213605145131746,-0.0506646379074353,0.0539592093088415,-0.0629111507696114,-0.0449701715625981,-0.0214547740331344,-0.0608579579550711,-0.0568182909132636,-0.0912830508877889,0.0368613593114243,-0.0033229017372024,0.0130346669826434,-0.0219061915574481,-0.0522299770963364,-0.0468720222933738,0.0185423602697263,-0.0220461991887018,-0.00982808898660071,0.00102932511159001,0.0363202818553926,-0.0940263495684474,-0.0127842184444575,-0.0316188146487123
"B cells",-0.311976983922358,-0.390057189946788,-0.244970932341035,-0.366585911593398,-0.30734135905729,-0.318737815737055,-0.219226997131716,-0.3178338458531,-0.427935125634455,-0.240021746711812,-0.313737210683251,-0.336691956640028,-0.293567666841491,-0.35821743292449,-0.271179884764895,-0.371006926127992,-0.396352888701949,-0.386894433345391,-0.241874457262209,-0.261260627823608,-0.288257296329017,-0.282814873954486,-0.214330924016356,-0.317283718040223,-0.263984179192249,-0.317509235655208,-0.353302344378565,-0.409968624862163,-0.252826752335837,-0.289910340862458,-0.297851859783172,-0.313657275586924,-0.351158393874068,-0.352856960483182,-0.314098210199075,-0.382174342671894,-0.3468384058931,-0.231377658624012,-0.324023645643921,-0.320414864450516,-0.411258448618798,-0.366294935190176,-0.239752531913455,-0.30075008881793,-0.324463147002548,-0.270570548026183,-0.356015207634135,-0.220574105227287,-0.287397130602008,-0.37964975775701,-0.415331911431122
"Plasma cells",-0.0594928751385055,0.00867538959772173,0.00416213270073465,-0.0106806060400778,0.0274695970978749,-0.00905639909646433,0.0700468931510876,0.00917422862447719,0.0025691474495079,0.0138319253733546,0.0150027241820151,-0.050104041354327,-0.036985625137264,-0.0449315299616526,-0.0288760216165124,-0.0384865402319554,-0.0368283187262486,-0.00473048979748077,0.0108748220271319,-0.00536228909094962,-0.0276558179311141,0.0335484579748809,-0.0451735530276452,-0.0620436284931756,-0.0131082631919779,-0.0130613844652047,-0.0106282377390301,0.0247678335965131,0.00319877441120682,-0.0274617184846151,0.0386075904824303,-0.0162969969155836,0.00930685074976852,-0.0395072414758019,-0.0146332174335765,0.0262229942159771,0.0169440568153594,0.141678473980244,-0.0536258010117142,0.00465481080457962,-0.0843688397522463,-0.010225548052069,0.00873282149456843,-0.0454070229434075,-0.0157380172399087,0.0227198778689639,-0.0150483161806408,0.102859401190145,-0.02174500499289,-0.0185125198327061,0.0323582901562381
"NK cells",-0.279220948868309,-0.320120340988758,-0.387975823124915,-0.253356105988508,-0.21759552564368,-0.224810209949888,-0.364275636440481,-0.198840062040202,-0.271202386322121,-0.183004343724193,-0.0917411830456286,-0.166049222855773,-0.237239905603541,-0.241570945315362,-0.27531884445701,-0.193727167306992,-0.1992583229311,-0.131643770707748,-0.216183779413207,-0.136803167482623,-0.295412682809452,-0.217053105803535,-0.21214073031337,-0.21557945055806,-0.153350400932499,-0.205425771422039,-0.193410156629875,-0.228217071233548,-0.382114215967985,-0.200080175370142,-0.133795142024331,-0.294167099139215,-0.147360274497209,-0.0461671771609179,-0.223505160917059,-0.205768870703406,-0.236557734821423,-0.055984225141572,-0.128468033844438,-0.188056471384989,-0.184045195118374,-0.205212361811131,-0.365731737610569,-0.165821011551653,-0.21712058295037,-0.296452395615438,-0.151750168083095,-0.20716404646524,-0.374106357373083,-0.267458336350406,-0.163725037510838
"Monocytes",0.177172139743455,-0.116434257276931,-0.102139035727687,0.153467101016553,-0.0218559704979579,0.126154853535102,0.0337014977575299,0.230800656940887,0.0308143614928263,-0.142674527667712,-0.101605362448587,-0.0509332718640466,-0.222008412715672,0.130041634766644,-0.0993930851090454,-0.0922673153841767,0.0271111907084051,0.157509209605316,0.105425286803124,0.0809466740276329,0.117073763445625,-0.312987335270507,-0.0177948748380262,-0.133694229506118,0.0532025149217017,-0.0383212826470267,-0.0678873669835957,0.127763380852174,0.0283487400750894,0.0839936689629488,0.130313144374073,0.0735041123563799,0.193686146314621,0.0995175817452043,0.0114570483208673,-0.0304958507576357,0.0743382465588771,0.336418611185854,0.0597633842321436,0.116238015942149,0.0430377990457886,0.0546647240930456,-0.0867372322945556,0.306435789348703,0.00492478014073996,-0.110460261295991,0.0638236633852423,0.0667229042165832,-0.150423221340165,-0.0552508098240977,0.251901638614994
