tissue,cell_type,gene,mean_log1p,pct_expr,n_cells
heart,cardiac muscle cell,EIF4EBP1,0.05880626117552837,5.908814333095339,284321
heart,cardiac muscle cell,PITPNM1,0.011560302065540786,1.5799044038252539,284321
heart,cardiac muscle cell,MAGED2,0.0954621053526975,8.968384326166552,284321
heart,cardiac muscle cell,NUDT4,0.5233016302947513,45.43104448844792,284321
heart,cardiac muscle cell,MTFP1,0.010191961102658718,1.280594820642865,284321
heart,cardiac muscle cell,PPM1K,0.9619147004498415,64.11133894436219,284321
heart,cardiac muscle cell,NAMPT,0.24151600700917522,27.567080869861883,284321
heart,cardiac muscle cell,CCND1,0.07293098281147567,9.393959644204966,284321
heart,cardiac muscle cell,FBLN1,0.024296488856188892,3.188649449038235,284321
heart,cardiac muscle cell,ERAP2,0.024399330043759517,3.2867779727842827,284321
heart,cardiac muscle cell,CENPV,0.03087939507729304,4.002869995533218,284321
heart,regular ventricular cardiac myocyte,EIF4EBP1,0.01769180912391098,2.476253462537501,208662
heart,regular ventricular cardiac myocyte,PITPNM1,0.005353534075738306,0.7687072873834239,208662
heart,regular ventricular cardiac myocyte,MAGED2,0.02208569819472161,3.1045422741083666,208662
heart,regular ventricular cardiac myocyte,NUDT4,0.5577639808263419,53.00821424121306,208662
heart,regular ventricular cardiac myocyte,MTFP1,0.001494589892706214,0.21422204330448286,208662
heart,regular ventricular cardiac myocyte,PPM1K,0.6982565762775442,61.599141194851,208662
heart,regular ventricular cardiac myocyte,NAMPT,0.22073733103621396,25.89594655471528,208662
heart,regular ventricular cardiac myocyte,CCND1,0.033900719005421166,4.7100094890301065,208662
heart,regular ventricular cardiac myocyte,FBLN1,0.011898943966012342,1.6706443914081146,208662
heart,regular ventricular cardiac myocyte,ERAP2,0.0131409781251851,1.8263986734527609,208662
heart,regular ventricular cardiac myocyte,CENPV,0.017255689755232527,2.428329068062225,208662
heart,mural cell,EIF4EBP1,0.008344157370775106,1.146927374301676,179000
heart,mural cell,PITPNM1,0.00466046977442736,0.6625698324022347,179000
heart,mural cell,MAGED2,0.03836225377181389,5.167039106145252,179000
heart,mural cell,NUDT4,0.14350698494445013,17.58100558659218,179000
heart,mural cell,MTFP1,0.00052890213374985,0.07597765363128492,179000
heart,mural cell,PPM1K,0.055060516156297826,7.343575418994414,179000
heart,mural cell,NAMPT,0.06828529767350777,8.270391061452514,179000
heart,mural cell,CCND1,0.030285957796613597,4.011173184357542,179000
heart,mural cell,FBLN1,0.08381601626646586,10.89441340782123,179000
heart,mural cell,ERAP2,0.014574422881589921,1.9972067039106145,179000
heart,mural cell,CENPV,0.021336530714727648,2.981564245810056,179000
heart,fibroblast of cardiac tissue,EIF4EBP1,0.02340141306928894,3.2316105133180457,170070
heart,fibroblast of cardiac tissue,PITPNM1,0.006554865645038925,0.9296172164402893,170070
heart,fibroblast of cardiac tissue,MAGED2,0.042193169068664924,5.7723290409831245,170070
heart,fibroblast of cardiac tissue,NUDT4,0.12499722684299587,15.984006585523607,170070
heart,fibroblast of cardiac tissue,MTFP1,0.0014903854523315178,0.21226553771976245,170070
heart,fibroblast of cardiac tissue,PPM1K,0.12685638555684417,16.24919150937849,170070
heart,fibroblast of cardiac tissue,NAMPT,0.17174615586267308,18.190156994178867,170070
heart,fibroblast of cardiac tissue,CCND1,0.01886646233587982,2.6001058387722704,170070
heart,fibroblast of cardiac tissue,FBLN1,0.29183246443888045,30.812606573763745,170070
heart,fibroblast of cardiac tissue,ERAP2,0.038345716001285536,5.137296407361674,170070
heart,fibroblast of cardiac tissue,CENPV,0.01553788532857199,2.1914505791732815,170070
heart,endothelial cell,EIF4EBP1,0.015163138973259655,1.919027894367457,145334
heart,endothelial cell,PITPNM1,0.009013755922544418,1.2639850275916165,145334
heart,endothelial cell,MAGED2,0.055668462890598125,6.610290778482668,145334
heart,endothelial cell,NUDT4,0.04363737470659063,5.5018096247264925,145334
heart,endothelial cell,MTFP1,0.0031808374284613577,0.4259154774519383,145334
heart,endothelial cell,PPM1K,0.04938907057208068,6.544924105852726,145334
heart,endothelial cell,NAMPT,0.1797398569276564,18.749913991220225,145334
heart,endothelial cell,CCND1,0.049611355393461815,5.8396521116875615,145334
heart,endothelial cell,FBLN1,0.014404210653449023,1.919027894367457,145334
heart,endothelial cell,ERAP2,0.0791577851407956,9.902706868317118,145334
heart,endothelial cell,CENPV,0.00506523276673976,0.7135288370236834,145334
heart,fibroblast,EIF4EBP1,0.04728851827387643,5.478383334853136,98697
