tissue,cell_type,gene,mean_log1p,pct_expr,n_cells
muscle,stromal cell,EIF4EBP1,0.045110065008615224,6.262704481657148,20662
muscle,stromal cell,PITPNM1,0.0023261408251514164,0.32426676991578746,20662
muscle,stromal cell,MAGED2,0.27679919015517734,32.71222534120608,20662
muscle,stromal cell,NUDT4,0.02116626209723916,2.9909979672829348,20662
muscle,stromal cell,MTFP1,0.0003019225942397346,0.04355822282450876,20662
muscle,stromal cell,PPM1K,0.016366525236836318,2.289226599554738,20662
muscle,stromal cell,NAMPT,0.006846756963274761,0.9486012970670796,20662
muscle,stromal cell,CCND1,0.030567077500650998,4.239667021585519,20662
muscle,stromal cell,FBLN1,0.1372152632970499,17.16193979285645,20662
muscle,stromal cell,ERAP2,0.015318346858982333,2.1343529184009293,20662
muscle,stromal cell,CENPV,0.00417122334550535,0.5904559093988965,20662
muscle,skeletal muscle fiber,EIF4EBP1,0.0007676135630698368,0.10774203478528552,19491
muscle,skeletal muscle fiber,PITPNM1,0.00021337453669835298,0.030783438510081577,19491
muscle,skeletal muscle fiber,MAGED2,0.006919912704539014,0.9953311784926376,19491
muscle,skeletal muscle fiber,NUDT4,0.02199715453880795,3.027038120158022,19491
muscle,skeletal muscle fiber,MTFP1,0.0008179357240103531,0.1180031809553127,19491
muscle,skeletal muscle fiber,PPM1K,0.008802742522845767,1.2108152480632086,19491
muscle,skeletal muscle fiber,NAMPT,0.027026853237980958,3.745318352059925,19491
muscle,skeletal muscle fiber,CCND1,0.00010668726834917649,0.015391719255040789,19491
muscle,skeletal muscle fiber,FBLN1,0.0023290489716990023,0.31296495818582937,19491
muscle,skeletal muscle fiber,ERAP2,0.009516664823728115,1.3185572828484942,19491
muscle,skeletal muscle fiber,CENPV,0.0025604944403802357,0.3694012621209789,19491
muscle,cell of skeletal muscle,EIF4EBP1,0.038887469233504696,5.330903961443517,17014
muscle,cell of skeletal muscle,PITPNM1,0.0016603465084184894,0.22334548019278241,17014
muscle,cell of skeletal muscle,MAGED2,0.23710611698363185,28.511813800399672,17014
muscle,cell of skeletal muscle,NUDT4,0.01062317175913939,1.4811331844363465,17014
muscle,cell of skeletal muscle,MTFP1,0.002223781178977664,0.3173856823792171,17014
muscle,cell of skeletal muscle,PPM1K,0.021563139003270716,2.921123780416128,17014
muscle,cell of skeletal muscle,NAMPT,0.005469917284134932,0.7523216174914776,17014
muscle,cell of skeletal muscle,CCND1,0.01845979146844172,2.5684730222169976,17014
muscle,cell of skeletal muscle,FBLN1,0.019879558692601197,2.738920888679911,17014
muscle,cell of skeletal muscle,ERAP2,0.0010015867817790049,0.14106030327965205,17014
muscle,cell of skeletal muscle,CENPV,0.010997549268660428,1.492888209709651,17014
muscle,mesenchymal stem cell,EIF4EBP1,0.27874501478581654,24.41764300482426,14510
muscle,mesenchymal stem cell,PITPNM1,0.011682803050802956,1.3094417643004825,14510
muscle,mesenchymal stem cell,MAGED2,0.4094911415358398,35.46519641626465,14510
muscle,mesenchymal stem cell,NUDT4,0.6022537160051189,51.66092350103377,14510
muscle,mesenchymal stem cell,MTFP1,0.008151120041913611,0.6340454858718125,14510
muscle,mesenchymal stem cell,PPM1K,0.25998095495794493,25.423845623707788,14510
muscle,mesenchymal stem cell,NAMPT,1.6081221558651704,80.28256374913853,14510
muscle,mesenchymal stem cell,CCND1,0.0543001702454565,5.54789800137836,14510
muscle,mesenchymal stem cell,FBLN1,2.03795271540904,89.87594762232943,14510
muscle,mesenchymal stem cell,ERAP2,0.1420758134081477,12.860096485182632,14510
muscle,mesenchymal stem cell,CENPV,0.02267974552657997,2.1984838042729153,14510
muscle,smooth muscle cell,EIF4EBP1,0.02132381820678711,3.0095238095238095,7875
muscle,smooth muscle cell,PITPNM1,0.006000227489168682,0.8507936507936508,7875
muscle,smooth muscle cell,MAGED2,0.17216910554492285,21.561904761904763,7875
muscle,smooth muscle cell,NUDT4,0.029607664289928618,3.0476190476190474,7875
muscle,smooth muscle cell,MTFP1,0.0004400934491838728,0.06349206349206349,7875
muscle,smooth muscle cell,PPM1K,0.019622572036016556,2.5650793650793653,7875
muscle,smooth muscle cell,NAMPT,0.03989462257566906,4.317460317460317,7875
muscle,smooth muscle cell,CCND1,0.03399879619053432,4.584126984126984,7875
muscle,smooth muscle cell,FBLN1,0.19503288393172008,22.22222222222222,7875
muscle,smooth muscle cell,ERAP2,0.05705795076158312,7.834920634920635,7875
muscle,smooth muscle cell,CENPV,0.0036967849731445314,0.5333333333333333,7875
muscle,endothelial cell of vascular tree,EIF4EBP1,0.060233043714066785,4.537444933920705,6810
