miRNA,gene,clipExpNum,panCancer,n_program,xref_validated
hsa-miR-125b-5p,EIF4EBP1,4,13,5,TRUE
hsa-miR-125a-5p,EIF4EBP1,4,19,4,TRUE
hsa-miR-551a,EIF4EBP1,3,2,1,FALSE
hsa-miR-551b-3p,EIF4EBP1,3,6,1,FALSE
hsa-miR-874-3p,EIF4EBP1,5,11,4,FALSE
hsa-miR-10a-5p,MAGED2,3,7,1,TRUE
hsa-miR-10b-5p,MAGED2,3,2,1,TRUE
hsa-miR-512-3p,MAGED2,7,4,1,FALSE
hsa-miR-512-3p,MAGED2,3,4,3,FALSE
hsa-miR-501-3p,MAGED2,4,5,3,TRUE
hsa-miR-502-3p,MAGED2,3,3,2,TRUE
hsa-miR-3605-5p,MAGED2,4,1,2,TRUE
hsa-miR-15a-5p,PPM1K,6,6,1,TRUE
hsa-miR-16-5p,PPM1K,6,4,1,TRUE
hsa-miR-204-5p,PPM1K,7,0,3,FALSE
hsa-miR-210-3p,PPM1K,3,20,1,TRUE
hsa-miR-211-5p,PPM1K,8,1,3,FALSE
hsa-miR-15b-5p,PPM1K,6,8,1,TRUE
hsa-miR-140-5p,PPM1K,4,5,3,TRUE
hsa-miR-195-5p,PPM1K,6,2,1,TRUE
hsa-miR-376c-3p,PPM1K,5,2,1,FALSE
hsa-miR-377-3p,PPM1K,14,2,1,FALSE
hsa-miR-330-3p,PPM1K,5,3,1,FALSE
hsa-miR-342-3p,PPM1K,14,0,1,FALSE
hsa-miR-345-5p,PPM1K,4,5,2,FALSE
hsa-miR-424-5p,PPM1K,6,6,1,TRUE
hsa-miR-410-3p,PPM1K,14,5,1,FALSE
hsa-miR-495-3p,PPM1K,12,3,1,FALSE
hsa-miR-497-5p,PPM1K,6,3,1,TRUE
hsa-miR-299-5p,PPM1K,3,3,2,FALSE
hsa-miR-147b,PPM1K,3,7,1,FALSE
hsa-miR-6838-5p,PPM1K,6,0,1,FALSE
hsa-miR-96-5p,NAMPT,5,7,4,TRUE
hsa-miR-148a-3p,NAMPT,4,4,1,TRUE
hsa-miR-181a-5p,NAMPT,3,15,2,TRUE
hsa-miR-181b-5p,NAMPT,3,12,2,TRUE
hsa-miR-181c-5p,NAMPT,3,11,2,FALSE
hsa-miR-182-5p,NAMPT,5,7,4,TRUE
hsa-miR-214-3p,NAMPT,4,4,1,TRUE
hsa-miR-145-5p,NAMPT,3,3,2,FALSE
hsa-miR-152-3p,NAMPT,4,4,1,TRUE
hsa-miR-154-5p,NAMPT,11,4,2,TRUE
hsa-miR-154-3p,NAMPT,5,3,2,FALSE
hsa-miR-34c-5p,NAMPT,3,5,3,FALSE
hsa-miR-369-3p,NAMPT,8,5,2,FALSE
hsa-miR-371a-3p,NAMPT,4,6,1,FALSE
hsa-miR-374a-5p,NAMPT,8,5,3,TRUE
hsa-miR-381-3p,NAMPT,7,2,3,FALSE
hsa-miR-323a-3p,NAMPT,8,5,1,FALSE
hsa-miR-151a-3p,NAMPT,4,5,3,TRUE
hsa-miR-148b-3p,NAMPT,4,7,1,FALSE
hsa-miR-448,NAMPT,3,1,2,FALSE
hsa-miR-329-3p,NAMPT,4,4,3,TRUE
hsa-miR-329-3p,NAMPT,11,4,3,TRUE
hsa-miR-329-3p,NAMPT,11,4,1,TRUE
