TF,gene,rank
TWIST2,FBLN1,1
GLI3,CENPV,2
GLI3,PITPNM1,2
GLI3,CCND1,2
GLI3,FBLN1,2
GLI3,MAGED2,2
NKX25,PPM1K,3
NKX25,NUDT4,3
SMAD1,PITPNM1,4
SMAD1,CCND1,4
SMAD1,NAMPT,4
SMAD1,EIF4EBP1,4
SMAD1,MAGED2,4
SMAD1,NUDT4,4
BACH1,CCND1,5
BACH1,NAMPT,5
BACH1,MAGED2,5
CEBPB,CCND1,6
CEBPB,PITPNM1,6
CEBPB,NAMPT,6
CEBPB,EIF4EBP1,6
CEBPB,NUDT4,6
FOSL2,CCND1,7
FOSL2,PITPNM1,7
FOSL2,NAMPT,7
KDM2A,PITPNM1,8
CREB5,CCND1,9
CREB5,NAMPT,9
ZNF581,CCND1,10
ZNF581,MTFP1,10
ZNF581,EIF4EBP1,10
GATA4,CCND1,11
GATA4,EIF4EBP1,11
GATA4,PPM1K,11
GATA4,NUDT4,11
ZNF223,CCND1,12
ZNF223,ERAP2,12
ZNF223,PITPNM1,12
ZNF223,MAGED2,12
MKX,CCND1,13
MKX,FBLN1,13
DDIT3,CCND1,14
DDIT3,NAMPT,14
DDIT3,EIF4EBP1,14
AHR,CENPV,15
AHR,CCND1,15
AHR,NAMPT,15
