"term","pval","combined","adjp","genes","n"
"Arsenenous acid CTD 00000922",1.0019718182378e-07,96.2248369473575,5.10418811989864e-05,"IFITM3;CEBPB;CDKN1A;MT1M;MT1X;HSPA2;CXCL14;AMOT;SOCS2;MFAP4;BCL6;CCND1;ALOX5AP;NAMPT;EIF4EBP1;GNPNAT1;ANGPTL4",17
"progesterone CTD 00006624",5.19917645335802e-08,88.3182122651536,5.10418811989864e-05,"CENPV;CDKN1A;LUM;ADH1B;NPR3;MT1M;MGST1;CYP4B1;F13A1;FBLN1;MT1X;ABCA8;CXCL14;SOCS2;MFAP4;CCND1;NAMPT;CCDC3;TIMP1;ANGPTL4;FKBP5",21
"Retinoic acid CTD 00006918",1.25410027515937e-07,65.4075526748317,5.10418811989864e-05,"IFITM3;CEBPB;CDKN1A;PCOLCE2;ADH1B;MGST1;F13A1;DPT;MT1X;CXCL14;SAT1;NUDT4;SOCS2;ADAMTS5;CCND1;NAMPT;EIF4EBP1;GNPNAT1;MYH11;TIMP1;CD14;RXRG;CENPV;LUM;CYP4B1;MFAP4;SFRP1;ALOX5AP;CCDC3;ANGPTL4;FKBP5",31
"phenoxybenzamine PC3 UP",3.41336238569838e-07,269.908914124313,0.000104192886823443,"CEBPB;CDKN1A;BCL6;MT1M;MT1X;HSPA2;SAT1",7
"mefloquine PC3 UP",4.88263065100533e-07,347.360222251363,0.00011923384049755,"CEBPB;CDKN1A;BCL6;MT1M;MT1X;SAT1",6
"folic acid CTD 00005997",1.61459285930595e-06,189.647732826484,0.000328569646868761,"IFITM3;C3;CDKN1A;CCND1;PCOLCE2;DPT;SAT1",7
"Medroxyprogesterone acetate CTD 00006623",1.933296552422e-06,121.902664936574,0.000337222155786751,"C1QB;CDKN1A;CCND1;ALOX5AP;MGST1;F13A1;FBLN1;LYVE1;FKBP5",9
"vanoxerine PC3 UP",3.15559611030041e-06,323.64631317654,0.000481622856334599,"CEBPB;BCL6;MT1M;MT1X;SAT1",5
"MS-275 PC3 UP",4.46249617985141e-06,102.570236210007,0.000605411981733175,"C3;CEBPB;CDKN1A;BCL6;LUM;NPR3;HSPA2;ANGPTL4;SAT1",9
"1-chloro-2,4-dinitrobenzene CTD 00005848",6.952248466956e-06,134.063881795761,0.000707391281512772,"CDKN1A;NPR3;NAMPT;MGST1;F13A1;MT1X;SAT1",7
"mifepristone CTD 00007083",5.87876357223161e-06,113.675582207797,0.000707391281512772,"SFRP1;CDKN1A;CCND1;LUM;CYP4B1;F13A1;FBLN1;FKBP5",8
"NICKEL SULFATE CTD 00001417",6.40498990389999e-06,83.5417333340688,0.000707391281512772,"C1QB;CDKN1A;ALOX5AP;NAMPT;MGST1;F13A1;MT1X;TIMP1;ANGPTL4;SAT1",10
"Tetradioxin CTD 00006848",7.64982526031498e-06,40.1808978159047,0.000718495126372661,"IFITM3;CEBPB;CDKN1A;PCOLCE2;ADH1B;ADH1A;MGST1;MT1X;PPM1K;CXCL14;SAT1;SOCS2;C3;CCND1;XPO4;NAMPT;CENPV;LUM;CYBRD1;CYP4B1;HSPA2;MFAP4;BCL6;PITPNM1;ALOX5AP;FKBP5",26
"isoflupredone PC3 UP",8.48863432666897e-06,422.508449245772,0.000740330179490201,"CEBPB;NNMT;MT1X;ANGPTL4",4
"estradiol CTD 00005920",9.90762427585704e-06,37.7657927133947,0.000806480616054763,"CEBPB;CDKN1A;NNMT;PCOLCE2;ADH1B;ADH1A;NPR3;MT1M;MGST1;F13A1;FBLN1;MT1X;PPM1K;CXCL14;SAT1;SOCS2;C3;CCND1;XPO4;NAMPT;EIF4EBP1;TIMP1;CENPV;LUM;CYP4B1;ABCA8;CCDC3;FKBP5",28
"Phorbol 12-myristate 13-acetate CTD 00006852",1.11534362656912e-05,84.3026782814817,0.000851146605025557,"SOCS2;CDKN1A;CCND1;EIF4EBP1;HSPA2;TIMP1;CD14;CA14;FKBP5",9
"astemizole PC3 UP",1.2575811329913e-05,213.740400711132,0.000903239154930812,"CEBPB;CDKN1A;MT1M;MT1X;SAT1",5
"Temsirolimus CTD 00003745",1.6100456261945e-05,841.559627094425,0.00106707589128681,"CDKN1A;CCND1;EIF4EBP1",3
"methylbenzethonium chloride PC3 UP",1.66047845490986e-05,196.272429681544,0.00106707589128681,"CEBPB;CDKN1A;MT1M;MT1X;SAT1",5
"cadmium acetate CTD 00001325",1.9345747692437e-05,314.004039664604,0.00112481704440312,"CDKN1A;BCL6;MT1X;FBLN1",4
"prenylamine PC3 UP",1.89635311749933e-05,188.387327815905,0.00112481704440312,"CEBPB;CDKN1A;MT1M;MT1X;SAT1",5
"KU-55933 CTD 00004399",2.2847098016041e-05,712.942726070588,0.00123760748334992,"CDKN1A;CCND1;EIF4EBP1",3
"thioridazine PC3 UP",2.40032673875288e-05,125.182354967056,0.00123760748334992,"CEBPB;CDKN1A;BCL6;MT1M;MT1X;SAT1",6
"testosterone enanthate CTD 00000155",2.43264370191631e-05,70.8613200341888,0.00123760748334992,"NNMT;ERAP2;LUM;DPT;MYH11;ANKRD2;FKBP5;AMOT;HLA-DPA1",9
"NVP-BEZ235 CTD 00004861",2.68226186592324e-05,660.899069710026,0.00131001669531691,"CDKN1A;CCND1;EIF4EBP1",3
"mometasone PC3 UP",2.94391839500799e-05,269.43358897842,0.00138250936934798,"CEBPB;CDKN1A;NNMT;MT1X",4
"alexidine PC3 UP",3.80230933831145e-05,245.254832166953,0.00160121849032861,"CEBPB;CDKN1A;MT1M;MT1X",4
"N-Acetyl-L-cysteine CTD 00005305",3.80305783943732e-05,87.3284079959994,0.00160121849032861,"CDKN1A;CCND1;MT1M;MT1X;CD14;SAT1;FKBP5",7
"trichostatin A CTD 00000660",3.58084043968605e-05,32.3013166345388,0.00160121849032861,"CENPV;CEBPB;CDKN1A;PCOLCE2;NPR3;MGST1;CYBRD1;FBLN1;HSPA2;PPM1K;CXCL14;SAT1;AMOT;NUDT4;SOCS2;ADAMTS5;SFRP1;CCND1;NAMPT;EIF4EBP1;CCDC3;ANGPTL4;CD14;HLA-DPA1",24
"histamine CTD 00006100",4.83095374310867e-05,224.471899611309,0.00196619817344523,"CDKN1A;CCND1;ALOX5AP;CD14",4
"isotretinoin HL60 UP",5.03481258280573e-05,138.571274319037,0.00198306650438897,"CEBPB;BCL6;ALOX5AP;TIMP1;SAT1",5
"letrozole CTD 00002692",5.35513267241873e-05,477.031108563604,0.00201581376505487,"CDKN1A;CCND1;EIF4EBP1",3
"Silica CTD 00006678",5.4481453109591e-05,48.3305284920184,0.00201581376505487,"CEBPB;CDKN1A;CCND1;PITPNM1;LUM;MT1M;MRC1;FBLN1;MYH11;MT1X;CCDC3",11
"nimesulide CTD 00000666",6.38613008536445e-05,202.307893537466,0.00226941168499562,"C1QB;CDKN1A;CCND1;ANGPTL4",4
"lamivudine CTD 00007258",6.73625334042127e-05,198.305799680707,0.00226941168499562,"CDKN1A;CCND1;EIF4EBP1;TIMP1",4
"gemcitabine CTD 00002382",6.61125363407248e-05,93.7849324935354,0.00226941168499562,"CEBPB;CDKN1A;NNMT;BCL6;CCND1;SAT1",6
"mebendazole HL60 UP",6.87700510604733e-05,74.606354543799,0.00226941168499562,"CEBPB;CDKN1A;BCL6;NAMPT;TIMP1;CD14;SAT1",7
"etoposide HL60 UP",7.2877011242433e-05,122.991570228655,0.00234165344018449,"CDKN1A;BCL6;NAMPT;CD14;SAT1",5
"tretinoin HL60 UP",7.59910943067867e-05,90.0406242341413,0.00237910579868171,"CEBPB;BCL6;ALOX5AP;TIMP1;ANGPTL4;SAT1",6
"bromocriptine HL60 UP",9.59179393929337e-05,173.584015316753,0.0029278950999693,"NAMPT;MT1X;TIMP1;SAT1",4
"eugenol CTD 00005949",0.000111971169990143,106.831356688667,0.00333455606238939,"NAMPT;MGST1;F13A1;MT1X;SAT1",5
"cicloheximide PC3 UP",0.000119358780252779,64.1448406592851,0.00346993025449152,"SOCS2;CEBPB;CDKN1A;BCL6;MT1M;NAMPT;MT1X",7
"Pemetrexed CTD 00003054",0.000124920581186807,319.565589965284,0.00354716347974631,"C3;CDKN1A;CCND1",3
"niclosamide PC3 UP",0.000136724514582445,99.9634148752395,0.00379410527966285,"CEBPB;CDKN1A;NNMT;MT1M;NAMPT",5
"azacyclonol PC3 UP",0.000144432727506855,148.475047124505,0.00391894133968599,"CDKN1A;BCL6;MT1X;SAT1",4
"Deguelin CTD 00003487",0.00016395679877831,141.391785426468,0.00434765230735588,"CDKN1A;CCND1;EIF4EBP1;ANGPTL4",4
"ciclopirox HL60 UP",0.000174475809222308,92.094895968719,0.00434765230735588,"CDKN1A;MT1M;NAMPT;MT1X;SAT1",5
"cyclophosphamide CTD 00005734",0.000172573926277344,70.4069785346061,0.00434765230735588,"CEBPB;CDKN1A;BCL6;ALOX5AP;EIF4EBP1;HSPA2",6
"5-Fluorouracil CTD 00005987",0.000169271344985183,34.9366333696552,0.00434765230735588,"CEBPB;CDKN1A;CCND1;PCOLCE2;MT1M;FBLN1;MT1X;HSPA2;ANGPTL4;SAT1;CA14;FKBP5",12
"alexidine MCF7 UP",0.000208625565975362,128.761143705054,0.00505994724172502,"CEBPB;BCL6;MT1X;SAT1",4
"genistein CTD 00007324",0.00021134914768876,33.1821785844365,0.00505994724172502,"IFITM3;C3;CEBPB;CDKN1A;CCND1;CYP4B1;FBLN1;MT1X;HSPA2;TIMP1;CXCL14;SAT1",12
"Tamibarotene CTD 00002527",0.000224043355203929,46.3890054309132,0.00526071032123071,"CEBPB;CDKN1A;CCND1;ALOX5AP;TIMP1;SAT1;FKBP5;HLA-DPA1",8
"cholecalciferol CTD 00005655",0.000252056130154792,119.563435337184,0.00578277622042135,"CDKN1A;F13A1;CD14;RXRG",4
"8-azaguanine HL60 UP",0.000255749316873672,51.6258077973514,0.00578277622042135,"CDKN1A;BCL6;NAMPT;TIMP1;CD14;SAT1;NUDT4",7
"anisomycin PC3 UP",0.000271468379748579,35.9148411403914,0.00602659803041845,"SOCS2;CEBPB;CDKN1A;BCL6;MT1M;NAMPT;MT1X;ANGPTL4;SAT1;NUDT4",10
